Rank,Runner,Flag,Country,Total Score,Performance Score,Volume Bonus,Variety Bonus,Prolific Score,Unique Boards,Unique Games,WRs,Top 3s,Top 10s,Medal Score,Depth Score,Average Place,Profile
1492,xXJulianbrito_YTXx3,,Chile,66.43,42.57,13.86,10,3,3,2,0,0,0,0,10.37,312.67,https://www.speedrun.com/users/xXJulianbrito_YTXx3
1493,SuperMariLo,,Sweden,66.2,58.2,8,0,1,1,1,0,0,0,0,7.6,20,https://www.speedrun.com/users/SuperMariLo
1494,WhiteMonster,,Poland,65.85,44.54,11.31,10,2,2,2,0,0,0,0,10.56,708.5,https://www.speedrun.com/users/WhiteMonster
1495,Blu3l1fe,,United States,65.81,57.81,8,0,1,1,1,0,0,0,0,8.7,89,https://www.speedrun.com/users/Blu3l1fe
1496,Astro_Mitch,,United States,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/Astro_Mitch
1497,Cads,,Canada,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/Cads
1498,fattycakes,,United States,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/fattycakes
1499,LEITHAL,,Canada,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/LEITHAL
1500,Mikachu,,United States,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/Mikachu
1501,NLeseul,,United States,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/NLeseul
1502,pony263,,Argentina,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/pony263
1503,ProfessorLaw,,France,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/ProfessorLaw
1504,Ruben_ls3,,Sweden,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/Ruben_ls3
1505,TimeC0nsumer,,Belgium,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/TimeC0nsumer
1506,zaizaijki,,China,65.53,57.53,8,0,1,1,1,0,0,0,0,10.56,1104,https://www.speedrun.com/users/zaizaijki
1507,ThreeToadSloth,,United States,65.23,31.23,24,10,9,9,2,0,0,0,0,11.94,303.56,https://www.speedrun.com/users/ThreeToadSloth
1508,Grayskull83,,United States,65.2,53.89,11.31,0,2,2,1,0,0,0,0,12.47,779.5,https://www.speedrun.com/users/Grayskull83
